id;product_fk;categorie;id
898;129;Beer;898
899;129; Wine & Spirits;899
900;130;Food & Beverage;900
901;130;Beverages;901
902;130;Wine;902
903;130; Beer & Liquor;903
904;130;Wine;904
905;130;Food;905
906;130;Beer;906
907;130; Wine & Spirits;907
908;131;Food & Beverage;908
909;131;Beverages;909
910;131;Wine;910
911;131; Beer & Liquor;911
912;131;Beer;912
913;131;Food;913
914;131;Beer;914
915;131; Wine & Spirits;915
916;132;Food & Beverage;916
917;132;Beverages;917
918;132;Wine;918
919;132; Beer & Liquor;919
920;132;Spirits;920
921;132;Malt Drinks;921
922;132;Food;922
923;132;Snacks;923
924;132; Cookies & Chips;924
925;132;Fruit Cups & Fruit Sauces;925
926;133;Food & Beverage;926
927;133;Beverages;927
928;133;Wine;928
929;133; Beer & Liquor;929
930;133;Wine;930
931;133;Food;931
932;133;Beer;932
933;133; Wine & Spirits;933
934;133;Home & Garden;934
935;133;Food & Beverages;935
936;133;Alcohol & Alcohol Mixers;936
937;133;Red Wines;937
938;134;Food & Beverage;938
939;134;Beverages;939
940;134;Wine;940
941;134; Beer & Liquor;941
942;134;Spirits;942
943;134;Food;943
944;134;Beer;944
945;134; Wine & Spirits;945
946;134;Health & Beauty;946
947;134;Health Care;947
948;134;Over-the-Counter Medicine;948
949;134;Pain & Fever Relief;949
950;134;grocery;950
951;135;Food & Beverage;951
952;135;Beverages;952
953;135;Wine;953
954;135; Beer & Liquor;954
955;135;Wine;955
956;135;Food;956
957;135;Beer;957
958;135; Wine & Spirits;958
959;135;Spirits;959
960;135;Home & Garden;960
961;135;Food & Beverages;961
962;135;Alcohol & Alcohol Mixers;962
963;135;Champagne & Sparkling Wines;963
964;135;Sparkling;964
965;135;Grocery;965
966;136;Food;966
967;136;Beverages;967
968;136;Beer;968
969;136; Wine & Spirits;969
970;136;Cocktail Mixers;970
971;136;Grocery & Gourmet Food;971
972;136;Bottled Beverages;972
973;136; Water & Drink Mixes;973
974;136;Margarita;974
975;136;Water;975
976;137;Food & Beverage;976
977;137;Baking & Cooking Essentials;977
978;137;Baking Essentials;978
979;137;Extracts & Food Coloring;979
980;137;Spices & Seasonings;980
981;137;Food;981
982;137;Beverages;982
983;137;Beer;983
984;137; Wine & Spirits;984
985;137;Beer;985
986;137;Soft Drinks;986
987;137;Extracts & Flavoring;987
988;137;Home & Garden;988
989;137;Food & Beverages;989
990;137;Spices;990
991;137; Seasonings & Extracts;991
992;138;Food & Beverage;992
993;138;Cookies;993
994;138; Chips & Snacks;994
995;138;Featured Brands;995
996;138;Cookies;996
997;138;Grocery & Gourmet Food;997
998;138;Snack Foods;998
999;138;Food;999
1000;138;Beverages;1000
1001;138;Beer;1001
1002;138; Wine & Spirits;1002
1003;138;Wine;1003
1004;139;Food;1004
1005;139;Beverages;1005
1006;139;Beer;1006
1007;139; Wine & Spirits;1007
1008;139;Cocktail Mixers;1008
1009;139;Home;1009
1010;139;Spirits;1010
1011;139;Office;1011
1012;139;Janitorial Supplies;1012
1013;140;Food & Beverage;1013
1014;140;Beverages;1014
1015;140;Cocktail Mixes;1015
1016;140;Food;1016
1017;140;Beer;1017
1018;140; Wine & Spirits;1018
1019;140;Cocktail Mixers;1019
1020;140;Bitters;1020
1021;140;Spirits;1021
1022;141;Food;1022
1023;141;Beverages;1023
1024;141;Beer;1024
1025;141; Wine & Spirits;1025
1026;141;Cocktail Mixers;1026
1027;141;Spirits;1027
1028;142;Food;1028
1029;142;Beverages;1029
1030;142;Beer;1030
1031;142; Wine & Spirits;1031
